,Address,Price,Beds,Baths,Location,All_Text
2036,48 Carpendale Cres,"$1,100,000 CAD",3+1 beds,4 baths,"

Ajax
Northeast Ajax
Carpendale Cres


(  )
- BTC

","

48 Carpendale Cres
$1,100,000 CAD
4 baths
3+1 beds



Ajax
Northeast Ajax
Carpendale Cres


(  )
- BTC


This Sweet Beautiful Home Must See. Finished Basement W/Sep Entrance W/Potential Rental Income. Main Floor Modern Open Concept Layout. Hardwood Floors, Pot Lights, B/I Dishwasher In The Kitchen, Lead You To Backyard. And A Big Beautiful Custom Deck In A Premium Lot...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2037,29 Hobart Dr,"$1,690,000 CAD",4+2 beds,4 baths,"

Toronto
Don Valley Village
Hobart Dr


(  )
- BTC

","

29 Hobart Dr
$1,690,000 CAD
4 baths
4+2 beds



Toronto
Don Valley Village
Hobart Dr


(  )
- BTC


Location And School! Seneca Hill School Rated Top Score! Incredible Large Lot With 66 Feet Frontage! Stunning Western Facing Bright & Spacious Dream Property! Attractive 4 Bedrooms In The Most Demanding North York Neighbourhood. Newly Renovated, Hardwood Floors (2020...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2038,55 Yarmouth St 205,"$449,000 CAD",1 beds,1 baths,"

Guelph
Exhibition Park
Yarmouth St


(  )
- BTC

","

55 Yarmouth St 205
$449,000 CAD
1 baths
1 beds



Guelph
Exhibition Park
Yarmouth St


(  )
- BTC


Tastefully Renovated. Spent$$$. Spacious. Wow! Shows Like A Model Suite! About 855Sq.Ft Of Living Space. New Open Concept Kitchen. New Ss Kitchen Appliances. New Washer/Dryer. Modern Finishes. New Vinyl And Tiled Flooring And Baseboards/Shoe Molding Throughout. New...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2039,20 Shore Breeze Dr 608,"$1,099,000 CAD",2 beds,2 baths,"


Mimico
Shore Breeze Dr


(  )
- BTC

","

20 Shore Breeze Dr 608
$1,099,000 CAD
2 baths
2 beds




Mimico
Shore Breeze Dr


(  )
- BTC


Welcome To Eau Du Soleil- Toronto's Luxurious Waterfront Community. Excellent Floor Plan With Spacious Living & Dining Room, 2 Bedrooms, 2 Washrooms With Lots Of Upgrades. Open Concept Functional Space With 9 Ft Ceiling, 1 Parking, 1 Locker. Resort Style Amenities...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2040,40 Panorama Crt 101,"$599,797 CAD",3 beds,2 baths,"


Mount Olive-Silverstone-Jamestown
Panorama Crt


(  )
- BTC

","

40 Panorama Crt 101
$599,797 CAD
2 baths
3 beds




Mount Olive-Silverstone-Jamestown
Panorama Crt


(  )
- BTC


Good Location. Spacious 3 Good-Sized Bed Rooms 2 Full Wash Rooms. Large Beautiful Open Balcony. Has A Private Entry From Balcony With Brand New Washer & Dryer. Nearby Albion Mall Tts School Park Library Central Air Conditioning. Easy Access To Underground Parking And...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2041,3888 Duke Of York Blvd 1026,"$729,900 CAD",2 beds,2 baths,"

Mississauga
City Centre
Duke Of York Blvd


(  )
- BTC

","

3888 Duke Of York Blvd 1026
$729,900 CAD
2 baths
2 beds



Mississauga
City Centre
Duke Of York Blvd


(  )
- BTC


Tridel Condo In The Heart Of Mississauga, Sun Filled South Facing , 2 Spacious Br With 2 Full Baths. Walking Distance To Square One Shopping Mall, Ymca, Library, Public Transit. Unit Sold In As Is Condition. All Existing Appliances, Unit Sold In As Is Condition...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2042,3160 Boxford Cres 3,"$847,000 CAD",2 beds,3 baths,"


Churchill Meadows
Boxford Cres


(  )
- BTC

","

3160 Boxford Cres 3
$847,000 CAD
3 baths
2 beds




Churchill Meadows
Boxford Cres


(  )
- BTC


Daniels Built Executive Townhouse In Churchill Meadows Community. Two Large Bedrooms. Spacious Living Area With Hardwood Floors. Large Sun Filled Living Room/Office At Main Floor. Potential To Finish Basement Into A En-Suite Third Bedroom. Bath Rough-In Already There...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2043,340 Dixon Rd 716,"$435,000 CAD",2 beds,1 baths,"


Kingsview Village-The Westway
Dixon Rd


(  )
- BTC

","

340 Dixon Rd 716
$435,000 CAD
1 baths
2 beds




Kingsview Village-The Westway
Dixon Rd


(  )
- BTC


Tastefully Renovated. Spent$$$. Spacious. Wow! Shows Like A Model Suite! About 1000Sq.Ft Of Living Space. New Open Concept Kitchen With Crown Molding, Huge Pantry. New Ss Kitchen Appliances. New Washer/Dryer. Modern Finishes. New Vinyl And Tiled Flooring And Baseboards...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2044,10 Mendelssohn St 409,"$849,900 CAD",3 beds,2 baths,"


Clairlea-Birchmount
Mendelssohn St


(  )
- BTC

","

10 Mendelssohn St 409
$849,900 CAD
2 baths
3 beds




Clairlea-Birchmount
Mendelssohn St


(  )
- BTC


Custom Design Finishes For Exceptional Comfort In Luxury Living. Richness Abounds An Open Concept Floor Plan Blending Living, Dining, & Kitchen Areas. Tastefully Upgraded & Renovated. An Exquisite 3 Bedrooms Condo. Whether You Are Downsizing Or Creating A Family, You...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2045,1900 Simcoe St 436,"$290,000 CAD",0 beds,1 baths,"

Oshawa
Samac
Simcoe St


(  )
- BTC

","

1900 Simcoe St 436
$290,000 CAD
1 baths
0 beds



Oshawa
Samac
Simcoe St


(  )
- BTC


Great Location For Investors Looking To Generate Some Income. Great Modern Style Bachelor Studio Unit. Fully Furnished. Bright South Facing View. 4 Piece Bath. Ensuite Laundry. Walking Distance To Ontario Tech University And Durham College. Close To Hwy ,Go Transit And...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2046,38 Monte Kwinter Crt 1401,"$499,800 CAD",1 beds,1 baths,"


Clanton Park
Monte Kwinter Crt


(  )
- BTC

","

38 Monte Kwinter Crt 1401
$499,800 CAD
1 baths
1 beds




Clanton Park
Monte Kwinter Crt


(  )
- BTC


Prime Location - Attention First-Time Buyers Or Investors! Enjoy This Open-Concept Floor Plan W/Lots Of Natural Light, Which Comes With A Modern Kitchen Featuring Ss Kitchen Appliances, Custom Backsplash & Table Island, 1 Bed 1 Den & 1 Washroom. Enjoy Direct Access To...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2047,135 East Liberty St,"$1,088,888 CAD",3 beds,2 baths,"


Waterfront Communities C1
East Liberty St


(  )
- BTC

","

135 East Liberty St
$1,088,888 CAD
2 baths
3 beds




Waterfront Communities C1
East Liberty St


(  )
- BTC


Liberty Village Newest Condo In Toronto, Most Vibrant Urban Community. Brand New South/West Corner. Amazing Lake View From Balcony Overlooking Bmofield.  $20,000 Will Get From The Building Upon The Final Closing. Walk To Historical Liberty Market From Your Building...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2048,500 Doris Ave 429,"$868,000 CAD",2+1 beds,2 baths,"


Willowdale East
Doris Ave


(  )
- BTC

","

500 Doris Ave 429
$868,000 CAD
2 baths
2+1 beds




Willowdale East
Doris Ave


(  )
- BTC


Grand Triumph 2"" By Tridel , Energy Efficient Green Building, State Of The Art Facilities, Gym, Indoor Pool, Sauna, Virtual Golf, Movie Theater, Party Room, Billiard & Foosball, Guest Suites, Exercise Rm.Business Rm. Walking Distance To Ttc & Subway Station. Close To...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2049,47 Padua Cres,"$950,000 CAD",3 beds,3 baths,"

Hamilton
Lakeshore
Padua Cres


(  )
- BTC

","

47 Padua Cres
$950,000 CAD
3 baths
3 beds



Hamilton
Lakeshore
Padua Cres


(  )
- BTC


Gorgeous Semi-Detached House In Desirable Stoney Creek! 9Ft Ceiling On Open Concept Main Floorl! Super Functional Layout! Upgraded Kitchen W/S/S Appliances, Quartz Counters, Island W/ Brkfst Bar! Large Prim Bed W/Modern Ensuite And W/I Closet! 2nd Floor Laundry! Dark...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2050,62 East St,"$799,000 CAD",3 beds,3 baths,"

Cambridge


(  )
- BTC

","

62 East St
$799,000 CAD
3 baths
3 beds



Cambridge


(  )
- BTC


Stunning Custom-Built Modern 3 Bedroom Home. Benefits Of A Brand New House In A Mature Family Friendly Neighbourhood. Move-In Ready And Worry Free With New Hvac, Electrical, Roof And All Windows (2020). Open Concept Main Floor W/ Large Windows For Tons Of Natural Light...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2051,228 East 22nd St,"$599,900 CAD",3+2 beds,1 baths,"


Eastmount
East 22nd St


(  )
- BTC

","

228 East 22nd St
$599,900 CAD
1 baths
3+2 beds




Eastmount
East 22nd St


(  )
- BTC


Great Opportunity In Eastmount Prime Central Mountain Location. Charming 1 1/2 Storey Solid Home  Ready To Be Restored On A Generous Size Lot Of 43Ft & 118 Sq Ft. House Boasts Over 1200 Sq Ft, Main Floor Bedrm, Ideal For Downsizers. 2 More Bedrooms In 1/2 Storey...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2052,12864 Innis Lake Dr,"$10,000,000 CAD",2 beds,1 baths,"

Caledon
Rural Caledon
Innis Lake Dr


(  )
- BTC

","

12864 Innis Lake Dr
$10,000,000 CAD
1 baths
2 beds



Caledon
Rural Caledon
Innis Lake Dr


(  )
- BTC


**Rarely Offered Property** This Prime Land Is Situated On 10 Acres. A Fantastic Investment Opportunity. Potential For Future Development. This Property Also Has A 400 Ft Frontage Allowing You To Build Your Dream Home Here. An All Around Property! 


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2053,62 Toba Cres,"$1,161,000 CAD",3+1 beds,3 baths,"

Brampton
Heart Lake East
Toba Cres


(  )
- BTC

","

62 Toba Cres
$1,161,000 CAD
3 baths
3+1 beds



Brampton
Heart Lake East
Toba Cres


(  )
- BTC


Very Well Maintained Detach Home In High Demand East Heart Lake Area Minutes To Shopping Mall, Highways And Transit. Beautiful With Abundant Sunlight. Most Sought Child Safe Area With Walking Distance To Schools. No Carpet Through Out The House. Upgraded Kitchen With...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2054,76 Greendale Ave,"$799,900 CAD",2 beds,2 baths,"


Rockcliffe-Smythe
Greendale Ave


(  )
- BTC

","

76 Greendale Ave
$799,900 CAD
2 baths
2 beds




Rockcliffe-Smythe
Greendale Ave


(  )
- BTC


Demand Location Of Rockcliffe-Smythe.Detached 2 Storey 2 Bd With 1 Full/1 2Pc Bath With Private Full Drive On Rectangular Lot 27X92 Fully Fenced Desirable West Exposure.Trees In Good Location On Lot.Good Starter Home In Todays Market With Space & Good Bones For Young...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2055,2 Fairbank Crt,"$1,299,999 CAD",4+2 beds,4 baths,"


Brampton West
Fairbank Crt


(  )
- BTC

","

2 Fairbank Crt
$1,299,999 CAD
4 baths
4+2 beds




Brampton West
Fairbank Crt


(  )
- BTC


!!! Yes Its Is Priced Right !!! Wow This Is A Must See, An Absolute Show Stopper! Priced To Sell Immediately!! A Lovely 4+2 Bdrm Fully Upgraded Double Car Garage Detached North Facing Home W/ 48' Frontage!! High Quality Hardwood Flrs Thru Out On M/Flr And Laminate Flrs...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2056,135 10 Line,"$5,500,000 CAD",0 beds,0 baths,"

Oro-Medonte
Hawkestone
10 Line


(  )
- BTC

","

135 10 Line
$5,500,000 CAD
0 baths
0 beds



Oro-Medonte
Hawkestone
10 Line


(  )
- BTC


Investors/Developers/Golfers Attention! Excellent Investment Opportunity To A 3 Bedroom Home With 92 Acres Of Commercial Land & A Turn Key 18 Hole Golf Course. Located Right On Hwy 11, 10 Mins To Barrie Or Orillia. Hwy 11 Exposure, Traffic Count & Signage Opp. Annual...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2057,242 Taylor Mills Dr,"$999,900 CAD",3+1 beds,2 baths,"

Richmond Hill
Crosby
Taylor Mills Dr


(  )
- BTC

","

242 Taylor Mills Dr
$999,900 CAD
2 baths
3+1 beds



Richmond Hill
Crosby
Taylor Mills Dr


(  )
- BTC


Beautifully Renovated Bright Open Concept 3 Bedroom Semi-Detached Bungalow With Fully Finished Newly Renovated One Bedroom Basement Apartment And Separate Entrance Door, W/ 2 Washer/Dryer In Sought After Crosby Neighbourhood. Upgraded Kitchen, New Central A/C, Recent...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2058,25 Steelhead Lane,"$749,900 CAD",2 beds,2 baths,"

Clarington
Newcastle
Steelhead Lane


(  )
- BTC

","

25 Steelhead Lane
$749,900 CAD
2 baths
2 beds



Clarington
Newcastle
Steelhead Lane


(  )
- BTC


Lovingly Cared For Home Located In Popular Adult Lifestyle Community Of Wilmot Creek On The Shores Of Lake Ontario. Home Has Popular Horseshoe Shaped Kitchen With Lots Of Cupboards, And Not 1 But 2 Family Rooms Overlooking The Golf Course.  Small Workshop Off 1 Of The...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2059,331 Douglas Ave,"$2,988,000 CAD",4+1 beds,5 baths,"

Toronto
Bedford Park-Nortown
Douglas Ave


(  )
- BTC

","

331 Douglas Ave
$2,988,000 CAD
5 baths
4+1 beds



Toronto
Bedford Park-Nortown
Douglas Ave


(  )
- BTC


Brand New Custom Build One Of The Kind Modern Home,4+1 Bedroom 5 Bath With 4 Skylights. In A Well Sought After Neighbourhood. Chef's Dream Kitchen With Top Of The Line Wolf And Miele Appliances. Centre Island With Cedar Stone Counter Top, Talis C Pot Filler. 11'Ft High...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2060,515 Winston Rd #71,"$849,900 CAD",3 beds,3 baths,"

Grimsby


(  )
- BTC

","

515 Winston Rd #71
$849,900 CAD
3 baths
3 beds



Grimsby


(  )
- BTC


Located In The Highly Desirable, Bravo By The Lake, Lakefront Community. With Views Of Lake Ontario, Offering Waterfront Trails And Beach Access Just Steps From Your Front Door With Tons Of Local Shops And Restaurants In ""Grimsby On The Lake"". This Freehold (With Road...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2061,760 Lakeshore Rd 209,"$799,000 CAD",2 beds,2 baths,"

Mississauga
Lakeview
Lakeshore Rd


(  )
- BTC

","

760 Lakeshore Rd 209
$799,000 CAD
2 baths
2 beds



Mississauga
Lakeview
Lakeshore Rd


(  )
- BTC


*Great Opportunity For Investors* Professionally Designed By Regina Sturrock. This Unit (1241 Sf) Offers An Open-Concept Scheme Where Elements Are Keenly United For Living And Entertaining. A Custom Kitchen Of Modern Styling Features A Combination Of Quartz And A...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2062,435 Hensall Circ 9,"$799,800 CAD",2 beds,3 baths,"


Cooksville
Hensall Circ


(  )
- BTC

","

435 Hensall Circ 9
$799,800 CAD
3 baths
2 beds




Cooksville
Hensall Circ


(  )
- BTC


10 ++ Pleasently Appointed 2 Level Townhouse In Centre Of Mississauga **Beautifully Maintained And Freshly Painted** Highlighted By Spacious Eat-In Kitchen, Gleaming Hardwood Floors Thru-Out, Huge Balcony And Very Private Patio** Just Move In And Enjoy. Fridge, Stove...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2063,380 Macpherson Ave 102,"$1,349,000 CAD",2+1 beds,2 baths,"


Casa Loma
Macpherson Ave


(  )
- BTC

","

380 Macpherson Ave 102
$1,349,000 CAD
2 baths
2+1 beds




Casa Loma
Macpherson Ave


(  )
- BTC


Rarely Available Grnd Lvl, 3 Flr Townhouse/Loft W/Direct Entrance From Street+Patio Or Thru Bldg Foyer. Flr To Clg Windows W/Clear View Of C.N Tower.3 Min Walk To Dupont Sbwy-Close To Shoppers D.M, Lcbo, Many Small Businesses+Popular Restaurants On Dupont.W/2 Bdrms,2...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2064,49 Kiwi Cres,"$1,990,000 CAD",4+2 beds,4 baths,"


Rouge Woods
Kiwi Cres


(  )
- BTC

","

49 Kiwi Cres
$1,990,000 CAD
4 baths
4+2 beds




Rouge Woods
Kiwi Cres


(  )
- BTC


Very Well Maintained Newly Renovated Spacious 4+2 Bedroom Plus 2 Kitchens Family Home. Unique Beautiful Main Floor Open Concept With 9' Height Ceiling And Rare 9' Height Ceiling On The 2nd Floor. Hard Wood On The Both Floors With Professionally Finished Stairs. 200 A...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2065,1930 County Road 121 Rd,"$2,700,000 CAD",4 beds,2 baths,"

Kawartha Lakes
Fenelon Falls
County Road 121 Rd


(  )
- BTC

","

1930 County Road 121 Rd
$2,700,000 CAD
2 baths
4 beds



Kawartha Lakes
Fenelon Falls
County Road 121 Rd


(  )
- BTC


Welcome To Your Dream Home!Pride Of Ownership Throughoutthis Gorgeous Country Home.Boasting 4 Bed,2 Baths,Breakfast Bar In Kitchen,Charming Living Quarters Throughout.Situated On A Beautiful 50 Acre Property.This Is A Dream Property For Year Round Recreation,Hunting...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2066,24 Legacy Lane,"$1,379,000 CAD",4 beds,4 baths,"

Thorold


(  )
- BTC

","

24 Legacy Lane
$1,379,000 CAD
4 baths
4 beds



Thorold


(  )
- BTC


Never Lived-In, Beautiful Detached House With Double Car Garage, 3300+Sqft, Corner House With 4 Bdrms And 3 Full Wshrms On 2nd Floor, Sep Living, Dinning And Family Rooms, A Beautiful Kitchen With An Island And Big Breakfast Area To Enjoy The Park View At The Back Of...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2067,151149 12th Line,"$2,999,000 CAD",4 beds,2 baths,"

East Garafraxa
Rural East Garafraxa
12th Line


(  )
- BTC

","

151149 12th Line
$2,999,000 CAD
2 baths
4 beds



East Garafraxa
Rural East Garafraxa
12th Line


(  )
- BTC


Pristine 98.32 Acre Farm With Approx. 80 Acres Of Tile Drained, Workable Land, Pond & Hardwood Forest. 1901 Revamped, 4 Bedroom, Turn Of The Century Farmhouse Overlooking The Rolling Hills With Many Upgrades Including New Windows 2011, Addition, Garage And New Septic...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2068,4659 Lobsinger Line,"$1,600,000 CAD",5 beds,3 baths,"

Wellesley


(  )
- BTC

","

4659 Lobsinger Line
$1,600,000 CAD
3 baths
5 beds



Wellesley


(  )
- BTC


Built By Surducan Custom Homes In 2014 On 100 Ft. X 277 Ft. Deep (0.6 Acre) Lot W/Full Sprinkler System. Just A 10 Minute Drive To St Jacobs & 15 Minute From Waterloo. Stunning Bungalow With Over Sized Triple Garage. 2264 Sq Ft Plus Fully Builder Finished Basement With...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2069,1598 Hartley Rd,"$2,100,000 CAD",3 beds,2 baths,"


Kirkfield
Hartley Rd


(  )
- BTC

","

1598 Hartley Rd
$2,100,000 CAD
2 baths
3 beds




Kirkfield
Hartley Rd


(  )
- BTC


Excellent Opportunity To Buy A 160 Acre Farm With Two Pieces Of Lands, Can Be Sold Separately. The First Land Is 83 Acre With Two Detached Residential Houses. The Main House Is A Two Story Brick Building With Kitchen, Living , Family Rooms, Powder Room, Laundry...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2070,326 Chandler Cres,"$800,000 CAD",3+1 beds,4 baths,"

Peterborough
Monaghan
Chandler Cres


(  )
- BTC

","

326 Chandler Cres
$800,000 CAD
4 baths
3+1 beds



Peterborough
Monaghan
Chandler Cres


(  )
- BTC


Premium Lot In Desired West End Jackson Creek Meadows O/L Trails & Pond Just Minutes From Downtown! Picture Homes Offers Open Concept Eat In Kitchen W/Bbar O/L Living Room Featuring Fireplace Vaulted Ceilings & Hardwood.Oak Bannister In The Open To Above Foyer Lead To...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2071,23 Mccormack St,"$899,000 CAD",3+2 beds,4 baths,"


Junction Area
Mccormack St


(  )
- BTC

","

23 Mccormack St
$899,000 CAD
4 baths
3+2 beds




Junction Area
Mccormack St


(  )
- BTC


Stunning 3 + 2 Bedroom Detached Home. Must See, Hardwood Floors Thru-Out, Pot Lights, Crown Molding, Tastefully Renovated, Beautiful Kitchen With Quartz Counter Top, Backsplash And Walk-Out To Deck And Backyard, Double Car Garage, Basement Apartment With Separate...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2072,2234 Falling Green Dr,"$1,699,900 CAD",4 beds,4 baths,"

Oakville
West Oak Trails
Falling Green Dr


(  )
- BTC

","

2234 Falling Green Dr
$1,699,900 CAD
4 baths
4 beds



Oakville
West Oak Trails
Falling Green Dr


(  )
- BTC


Charming Family Home In The Desired Community Of Westmount. This Charm Boasts High-End Finished Throughout Including: 9' Ceilings, Living-Cathedral And Dining-Coffered Ceiling, Family-Fireplace, Breakfast-Patio Door To Deck, Kitchen-Granite Counter, Pantry.  Main Floor...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2073,2 Bevington Rd,"$1,399,000 CAD",4 beds,3 baths,"

Brampton
Northwest Brampton
Bevington Rd


(  )
- BTC

","

2 Bevington Rd
$1,399,000 CAD
3 baths
4 beds



Brampton
Northwest Brampton
Bevington Rd


(  )
- BTC


Beautiful Mattamy Built Corner Beauty In The Prestigious Mt. Pleasant Is Like No Other. No Neighbors Behind. Hardwood Flooring Throughout, 2nd Flr Laundry, Custom Closets, Granite Countertop In The Kitchen & Wkwy. Fully Upgraded Powder Room. California Shutters, Newer...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2074,1420 Sycamore Gdns,"$1,699,000 CAD",4 beds,3 baths,"

Milton
Cobban
Sycamore Gdns


(  )
- BTC

","

1420 Sycamore Gdns
$1,699,000 CAD
3 baths
4 beds



Milton
Cobban
Sycamore Gdns


(  )
- BTC


Absolutely Gorgeous Mattamy's Highly Sought After ""Montrose"" Model With 2400 Sq.Ft Of Living Space. 21/2 Storey House With Family Room & Spacious Balcony On 2nd Level With 12'' High Ceiling.4 Br+Den 2.5 Wr With High End Finishes, Luxury Flooring Throughout.2 Gas Fire...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2075,175 Simcoe Ave,"$10,000 CAD",0 beds,0 baths,"

Georgina
Keswick North
Simcoe Ave


(  )
- BTC

","

175 Simcoe Ave
$10,000 CAD
0 baths
0 beds



Georgina
Keswick North
Simcoe Ave


(  )
- BTC


Location! Location! Location! For Restaurants Or Clinics, Lot In The Heart Of Keswick! Tremendous Potential Investment In The Fast Growing Community. Split It To 2 Pieces Of Lots (35 And 40 Residentials To Increasing Land Value)  Buyers Should Do Their Own Due...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2076,37 Alvin Ave,"$3,995,000 CAD",2 beds,4 baths,"


Rosedale-Moore Park
Alvin Ave


(  )
- BTC

","

37 Alvin Ave
$3,995,000 CAD
4 baths
2 beds




Rosedale-Moore Park
Alvin Ave


(  )
- BTC


Welcome To 37 Alvin Ave. - A Stunningly Renovated Victorian That Has Been Renovated With No Expense Spared. This Is The Perfect Live/Work Property Or An Incredible Condo Alternative With Solid Income. Professional Offices On Ground Floor, Extensive Updates To A...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2077,72 Main St 217,"$450,000 CAD",2 beds,1 baths,"

Port Colborne


(  )
- BTC

","

72 Main St 217
$450,000 CAD
1 baths
2 beds



Port Colborne


(  )
- BTC


This 2 Bed 1 Bath Condo In This Demand Town Was Completely Rebuilt New In 2021 With New Kitchen, New Bath, New Washer & Dryer, New Dishwasher, All Stainless Steel Appliances With New Bath With Quartz, Tile, Wide Plank Laminate New Light Fixtures Throughout.  Includes 1...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2078,345 Driftwood Ave 512,"$439,000 CAD",3 beds,2 baths,"

Toronto
Black Creek
Driftwood Ave


(  )
- BTC

","

345 Driftwood Ave 512
$439,000 CAD
2 baths
3 beds



Toronto
Black Creek
Driftwood Ave


(  )
- BTC


Don't Miss Out On This Opportunity To Own A 3Bed 2Wash Unit In High Demand Area. Spacious Bedrooms. Ensuite Laundry. New Refrigerator And Microwave Oven. Maintenance Fee Includes: Heat, Water And Hydro. Ttc At Doorsteps, Close To York University, Hwy 400, 401. Yorkdale...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2079,4135 Shipp Dr 41,"$1,798,000 CAD",4 beds,4 baths,"

Mississauga
City Centre
Shipp Dr


(  )
- BTC

","

4135 Shipp Dr 41
$1,798,000 CAD
4 baths
4 beds



Mississauga
City Centre
Shipp Dr


(  )
- BTC


One Of A Kind Luxury Residence With A Private Elevator In An Exclusive Community Located In The Heart Of Mississauga. This Masterpiece With Stunning Architectural Features And World-Class Design Is Elegantly Appointed With: *Hardwood Floors And Pot Lights Throughout...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2080,144 Kingston Rd,"$599,999 CAD",2 beds,2 baths,"

Ajax
Central
Kingston Rd


(  )
- BTC

","

144 Kingston Rd
$599,999 CAD
2 baths
2 beds



Ajax
Central
Kingston Rd


(  )
- BTC


Prime Location Of Ajax. Walk To All Amenities. Public Transport At Door Step, Minute To Highway 401 And Go Station. Bright End Unit Upper Level Stacked Townhouse With Bright Spacious 2 Bedrooms. Bright And Spacious Kitchen With Breakfast Counter And Ss Appliances. Cozy...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2081,654 Elm St,"$449,900 CAD",5 beds,2 baths,"




(  )
- BTC

","

654 Elm St
$449,900 CAD
2 baths
5 beds






(  )
- BTC


Large 5 Bedroom Home In Port Colborne!  Sitting On A Large Corner Lot, This Home Features Hardwood Floors Throughout, Lots Of Natural Light And Sizeable Open Concept Kitchen And Living Room.  Close To Schools, Parks, Vale Health And Wellness Centre And Many Local...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2082,98 Queenston St,"$599,000 CAD",4 beds,3 baths,"

St. Catharines


(  )
- BTC

","

98 Queenston St
$599,000 CAD
3 baths
4 beds



St. Catharines


(  )
- BTC


Attention Firstime Home Buyers Or Investors. This Beautiful Detached Home Features 4 Bedrooms, 3 Washrooms And 2 Kitchens. Can Be Rented Out As Multiple Units. Very Good Investment Property, Close To Downtown St. Catharine's. 15 Mins. Drive To Niagara Falls. Located In...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2083,484 Westmount Dr,"$2,499,999 CAD",4 beds,3 baths,"

London


(  )
- BTC

","

484 Westmount Dr
$2,499,999 CAD
3 baths
4 beds



London


(  )
- BTC


When Viewing This Property On Realtor.Ca Please Click On The 'Multimedia Or Virtual Tour' Link For More Property Info. Stunning Views Of The City,This Architectural Masterpiece Is Surrounded By Trees Offering Complete Privacy.This Executive Luxury Home Is A Must See!No...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
2084,359784 Bayshore Rd,"$4,260,500 CAD",0 beds,0 baths,"

Meaford
Rural Meaford
Bayshore Rd


(  )
- BTC

","

359784 Bayshore Rd
$4,260,500 CAD
0 baths
0 beds



Meaford
Rural Meaford
Bayshore Rd


(  )
- BTC


Imagine Building Your Dream Home On The Magnificent Waters Of Georgian Bay! This Rare Waterfront Property Just Over 2 Hrs From Gta Sits On 22.6 Acres Is Located On The Clean, Sparkling Waters Of Georgian Bay. This Property Boasts Over 900'Of Waterfront & The Potential...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
