,Address,Price,Beds,Baths,City,Area,Street,Description
1634,12601 Nassagaweya-Pusl Twn Line,2349900,6,4,Milton,Nassagaweya,Nassagaweya-Pusl Twn Line,"Incredibly Beautiful Estate Home Situated On A Private 2.4 Acres W/ 6 Bedrooms & 4 Baths. Boasting Approx 3500 Sqft Above Grade, Executive Entrance W/ D/D Entry & Floor To Ceiling Foyer. Floating Stairs, Hardwood Flooring Throughout, Spacious Living, Dining & Family..."
1635,5432 Sweetgrass Gate,999900,3,2,Mississauga,East Credit,Sweetgrass Gate,"*View Multimedia Tour*Stunning Fully Upgraded Semidetached Located On Premium 143 Ft Deep Lot Situated In High Demand Neighbourhood*Freshly Painted, Modern Open Concept Floor Plan* Upgraded Kitchen W/Quartz Counter & Backsplash* Walkout To Large Deck And Rare Huge..."
1636,22 Griselda Crt,799900,3+1,4,,Northgate,Griselda Crt,"Location Location!! B'ful, Bright, Spacious, 3Br Semi-Detached, 2 Storey Home With 4 Bathrooms,1 Br Finished Basement With 3Pc Bath And Practical Wet Bar, 4 Car Park On Driveway, No Sidewalk, Quite Court Street,  Modern Kitchen With Quartz Countertop Walkout To Large..."
1637,499 Rebecca St,1498800,2+1,2,,Old Oakville,Rebecca St,"Charming Bungalow In Prestigious Sw Oakville On Private 60 X 124 Lot. Main Lvl Dining Rm, Lvg Rm, 3 Season Sunroom, Fam Rm W/Fp, Kitchen, Primary Bdrm W/Wi Closet & Sitting Area, 2nd Bdrm, 4Pc Bath W/Heated Flr. Sep Ent To Lower Lvl  W/3rd Bdrm+Lounge, Kitchen, 3 Pc..."
1638,92 Celestine Dr,1199900,3+1,2,Toronto,Willowridge-Martingrove-Richview,Celestine Dr,"Spectacular 3 Bedroom Bungalow In Popular Martingrove Gardens Community. Open Concept Main Floor Living/Kitchen/Dining Area Is Perfect For Entertaining And Family Dinners. Updated Main Floor Bath With Calcatta Marble Subway Tile Tub Surround, Primary Bedroom With Space..."
1639,227 Higginbotham Cres,1399000,3,4,Milton,Willmont,Higginbotham Cres,"Completely Renovated. Enter To Find Nine-Foot Ceilings, New Floors & A Den For Your Home Office. The Avid Chef Will Feel At Home In The Spotless White Kitchen W/ Walk-In Pantry. The Finished Basement With A Full Bathroom And Kitchenette Has Separate Private Access..."
1640,397 Marf Ave,999000,0,0,Mississauga,Mineola,Marf Ave,Attn House Is Sold  As Land Value. No Interior Showing. You Don't Have To Wait For 2 Years To Get Permit. Permit Is At Last Stage You Can Get It Before Closing. Prprty Is Sold As Is. Architectural Drawing Avilable Upon Request. House Come With 4 Bdrm With Attach...
1641,127 Nelson St,1495000,3,4,Oakville,Bronte East,Nelson St,"Luxurious End Unit 3 Bed 3.5 Bath Th W Over 2,600 Sq Ft Liv'g. 2 Car Gar + 2 Cov'd Parking. Steps Bronte Harbor & Restaurants. Ideal For Entertaining. Open Con Liv/Din/Kit W W/O To Rear Patio. Rooftop Terrace. 9' Ceilings, Pot Lights, Granite, Custom Built-Ins..."
1642,162 Summerset Dr,1188000,5,3,Barrie,Ardagh,Summerset Dr,"Sought-After Southwest Ardagh Bluff's Family Friendly Neighbourhood.Surrounded By Nature, Trails, Parks, Walking Distance To Top Rated Schools, Child Care. & Hwy.This Gorgeous Quality Built Grandview Home Is Move In Ready W/High End Fin & Meticulously Kept. Open..."
1643,141 Burns Circ,799999,3+1,2,,400 West,Burns Circ,"Beautiful Detached Family Home On Quiet Circle In Barrie' North West End. Open Concept Kitchen, Living Room And Dining Room. Newer Laminate And Vinyl Flooring. Walk Out To Huge 200 Ft Deep Landscaped Lot With Patio, Above Ground Pool (As Is) & Trampoline And Shed. Main..."
1644,320 Moonstone Rd,1750000,2,2,Oro-Medonte,Moonstone,Moonstone Rd,"Charming Post & Beam Log Home On 25 Majestic Acres! Incredible Architecture & Charm Surrounded By Private Bliss! Spring-Fed Pond, Multiple Outbuildings, Solar Panels That Generate Approx $4000/Year, & Detached Garage With 2nd-Floor In-Law Potential! Magnificent..."
1645,194 Laverock Ave,1539000,4+2,4,Richmond Hill,Mill Pond,Laverock Ave,"Recently Renovated 4 Bedroom & 4 Bathroom Back-Split In Mill Pond Area. Hardwood Floor. Kitchen With Granite Countertops. Open Concert. Large Driveway, 6 Cars Can Park, 2 Bedroom Basement Apartment W/Separate Entrance. Roof 2019, Furnace 2019, A/C 2019. 2 Fridges, 2..."
1646,46 Harvest Moon Dr,1500000,4+1,4,Markham,Milliken Mills West,Harvest Moon Dr,"Large Lot (51X111) In One Of Markham's Best Location & Backing To A Park. W/ Approx 2500 Sq/F This 4Br Home Has A Lot To Offer & Is Sold By The Original Owner. U/D's Incl A Kit W/Quartz Cntrs & S/S Apps, Reno Prime Br Ensuite W/Jacuzzi Tub, Hardwood Flrs, Oak Stair..."
1647,10 Petersen Pl,999990,3,4,King,Nobleton,Petersen Pl,"A Nice Bungaloft Located In A Quiet Community With Main Floor Bedroom And 4 Piece Ensuite. Kitchen Has A Center Island And A Walk-Out To Yard. Living Room Has A High Ceilings To Second Floor. Close To All Amenities. Mtns. Fee $ 196.96 Mo. All Light Fixtures, Gas Burner..."
1648,126 Meadow Vista Cres,1388000,4,4,East Gwillimbury,Holland Landing,Meadow Vista Cres,"Welcome Home To This New (2 Months Old) Stunning Modern Detached Under 3000 Sqft Home With Walk-Out Bsmt.Upgraded W/High End Finishes!Best Open Concept Layout W/ Modern Kitchen,Oversized Pantries & Large Centre Island. Huge Master W/Dreamy Spa-Like Bath & Huge W/I..."
1649,65 Murray Dr,1399999,3+2,4,Aurora,Aurora Highlands,Murray Dr,Beautifully Updated Home In Prime Area In Aurora. Open Concept Main Floor With 3 Bedrooms & 2 Full Bathrooms. Lower Level Boast 2  - 1 Bedroom In-Law Suites. Both With Open Concept Living Spaces And Full Bathrooms With Large Bright Windows. This House Is Great For The...
1650,24 Spruce St,2299900,9+1,7,Uxbridge,Uxbridge,Spruce St,"Opportunity For Investors In The Heart Of Downtown Uxbridge!Freestanding Multiplex W 7 Self Contained Units & Permit For 8th Unit. Double Wide Lot Next To Go Bus Station.Fantastic Location!Walking Distance To Main St Shops,Rec Centre,Schools,Trails,Parks, Heritage..."
1651,158 Ner Israel Dr,1998800,4,5,Vaughan,Patterson,Ner Israel Dr,"Premium Ravine, Gorgeous Very Well Kept 4 Bedrooms W/ Walk Out Basement In High Demanding Thornhill Family Oriented Neighbourhood. South Facing. Grand Foyer. Crown Moulding. Pot Lights, Hardwood Floor Though Out. High-End Kitchen Cabinet, Open Concept, Central Island..."
1652,11 Forfardale Rd,1980000,4+2,5,Whitchurch-Stouffville,Rural Whitchurch-Stouffville,Forfardale Rd,"Over 4,000 Sqft Of Luxury Living W/Premium Finishes & High End Appliances. Charming 3 Storey Custom Home On A 1.5 Acre Park Like Setting Located On A Quiet Cul De Sac. Professionally Landscaped Oversized Lot With Inground Salt Water Pool & Patio, Gardens & Large Wrap..."
1653,53 Froud Dr,1699999,4+1,6,,Westbrook,Froud Dr,"Rare Opportunity. Fully Renovated From Top To Bottom. 2 Story Detached Home With Updated Open Concept Kitchen With Brand New S/S Appliances And Granite Counters. Finished Bsmnt W/Separated Entrance, 5th Bd Room, 2nd Kitchen & Full Bath. Can Be Turned In A Bsmnt Apt..."
1654,9 Bluebell Dr,1300000,4,4,,Rouge Fairways,Bluebell Dr,"Welcome To 9 Bluebell Dr! Located In Highly Sought After Markham. This Lovely Family Home Boasts Eat-In Kitchen W/Fireplace, & Walkout To B/Y; Main Floor Office &  Family Room, Spacious Primary Bedroom, Finished Basement With Bright Open Rec Room W/Pot Lights And..."
1655,283 Beach Rd,2499000,3,3,Innisfil,Gilford,Beach Rd,Imagine The Priceless Memories Your Family Will Make Here!! Entertaining In This Home Will Be A Joy. From The Rich Wood Cabinetry In The Kitchen To The Spacious Living Room To The Outdoor Patio And Grounds Overlooking Lake Simcoe. Enjoy Year Round Waterfront Activities...
1656,116 Bannister St,899900,4,4,Clarington,Bowmanville,Bannister St,"Modern Detached 4 Bedroom,3.5 Bathroom, Family Home In The Desirable Neighbourhood Of Aspen Springs. Featuring A Large Master Bedroom W/ A Walk In Closet & Ensuite Bathroom. Convenient Upper Floor Laundry. Hardwood Flooring On Main Floor W/ Formal Dining Room And..."
1657,61 Halsey Ave,899000,3+1,4,,O'Connor-Parkview,Halsey Ave,"Fully Renovated , Newly Built Rentable Basement With Kitchen. New Floors, Renovated Main Floor Kitchen, Modernly Designed Bathrooms With Brand New Accessories. Walking To Ttc, School, Close To Subway Station. Separate Laundry For Upper Floor And Basement. Central..."
1658,380 Phillip Murray Ave,749000,5+2,3,Oshawa,Lakeview,Phillip Murray Ave,"Registered Two-Unit House Located Steps From The Lake In Down Town Oshawa. Units Renovated Lately. Close To Schools, Shopping, Public Transit, Lakeview Park, 401 And Go Station. Irregular Lot Size 55.05 Ft X 147.65 Ft X 59.05 Ft X 126.28 Ft As Per Geowarehouse. Legal..."
1659,59 Cleta Dr,1699900,4+2,5,Toronto,Kennedy Park,Cleta Dr,"Stunning Custom Built Home With Immaculate Detail In Design, Function & Quality! Featuring Engineered Hardwood & Crown Moulding Throughout! Open Concept Living, Dining & Modern Chef's Kitchen With Quartz Counters, Waterfall Centre Island, Built-In S/S Appliances! Cozy..."
1660,14 Potts Lane,199999,0,0,Scugog,Rural Scugog,Potts Lane,Treed Lot 165 X 100 Foot In The Quiet Community Of Caesarea Just Steps To Lake Scugog On Unmaintained Township Road That Goes To Lake Access And Larger Waterfront Area Owned By Township Of Scugog. Interested Parties And Agents To Conduct Own Due Diligence With The Town...
1661,21 Catherine Dr,1365000,4,4,Whitby,Pringle Creek,Catherine Dr,"Welcome To This Beautiful Upgraded Home. Sought After Neighbourhood. This Home Offers Exceptional Finishes To The Highest Standards .This Gorgeous Home Is Bright And Spacious And Designed For Entertaining. , Beautiful Eat In Kitchen , Quartz Counters, Centre Island..."
1662,50 Bethune Blvd,1399000,3+1,3,,Scarborough Village,Bethune Blvd,"Welcome To The Hill Crescent Neighbourhood!  Spectacular Country Living In The City, Steps To The Lake & Scarborough Bluffs! This Sprawling 50 X 197 Foot Lot Is Situated On A Quiet, Tree-Lined Street, Surrounded By Growing Families! Large Main Floor W Formal Living..."
1663,2 Fieldcrest Ave,849000,4,3,Clarington,Courtice,Fieldcrest Ave,"Beautifully Maintained Solid Brick 4 Bedroom Home In A Family Friendly Neighborhood With Walking Distance To  Schools. Commuters Delight, Close To Hwy 401, 418 & 407. Minutes To Go (Future Train) Station. Walk-Out From Kitchen To A Large Deck With A Fenced Yard. Access..."
1664,476 Toynevale Rd,1999999,0,0,Pickering,Rosebank,Toynevale Rd,"Attention Builders 100 X 125 Corner Lot In Rosebank - Pickering's Most Desirable Neighborhood. Featuring 2 Driveways - One On Toynevale, One On Rosebank With 4 Bdrm Bungalow. "
1665,11 Morning Dew Rd,1099999,3+2,2,,West Hill,Morning Dew Rd,"This Beautiful West Hill Bungalow Sits On A 50X100 Lot. Renovated. Just Move-In, Enjoy And Live On Main Floor. Open Concept With 3 Bedrooms. Rental Income From Basement Tenant Help Pay Down Mortgage. Almost Everything Is New Incl. 2 Kitchens, 2 Washrooms, Flooring..."
1666,34 Colborne St,580000,3+1,2,,O'Neill,Colborne St,"Legal Duplex. Great Investment Property To Live In And Also Rent. Features 2 Units. Unit 1 Has 1 Bedroom, Living Room , Kitchen And 4 Piece Bath, Unit 2- 3 Bedroom, Livingroom, Updated Kitchen And 3 Piece Bath. Close To All Amenities Shopping Plaza, Parks, Schools..."
1667,6355 Kingston Rd,1688000,3+1,3,,Highland Creek,Kingston Rd,"Breathtaking Sunfilled Detached Home In The Most Beautiful Enclave Of Desirable Highland Creek*This Spacious 3+1 Home Boasts Over 3400Sq Ft Total Of Comfortable Yet Functional Living Space*Large Modern Eat-In Kit W/W/O To Large Deck W/Bbq, Stunning Liv/Din Room..."
1668,76 Meadowview Blvd,579000,2,2,,Bowmanville,Meadowview Blvd,Perfect Starter Home In Mature Bowmanville Neighbourhood. Main Level Features Galley Kitchen W/Laminate Floors & Bright Breakfast Area. Dining Is Open To Living Room With Cozy Gas Fireplace & Sliding Glass Walk-Out To Fully Fenced Yard With Large Deck.  Finished...
1669,10 Davidson Ave,799000,2+1,1,Davidson Ave,,,Detached Solid Brick Well Maintained Bungalow On A Gorgeous Lot Loaded With Lots Of Charm | Pride Of Ownership | Tons Of Sunlight | Separate Entrance To Unfinished Basement Waiting To Put In Your Own Touch | Amazing Landscaped Backyard With No Neighbours Behind You...
1670,77 Fairholme Ave,3049000,5+2,7,,Englemount-Lawrence,Fairholme Ave,Fantastic Custom Built Home In Beautiful Sought After Pocket! This Beauty Offers Executive Finishes Thru/O W/ Soaring Ceilings On Main Flr & Lrg O/Concept Living & Dining Areas Open To Eat-In Kitchen W/ Lrg Island + Breakfast Area & W/O To South Facing Yard. Upper Flrs...
1671,61 Balmoral Ave,4495000,4,5,,Yonge-St. Clair,Balmoral Ave,Luxurious And Modern Custom 4 Bdrm Gem At Yonge And St. Clair. No Expense Spared. Steel Beam Construction. Elevator To 4 Levels. High End Finishes. Fantastic South Facing Decks Off Family Rm And Master. Floor To Ceiling Windows Create Floods Of Natural Light Thruout...
1672,104 Argyle St,6600000,4+1,7,,Trinity-Bellwoods,Argyle St,"Detached Smart Home Designed By Award-Winning Batay-Csorba Architects. One Of A Kind, Meticulously Built, 5200 Sq Ft, 5 Bed, 7 Bath. Approx 500 Sq Ft Private Rooftop Deck W/City Views. Poliform Cabinetry Thru-Out W/Sub Zero/Wolf Appl. Incl. Wine & Bev Fridges.Lutron..."
1673,111 Roxborough Dr,3295000,5+2,4,,Rosedale-Moore Park,Roxborough Dr,"Situated In One Of Rosedale's Finest Locations, 111 Roxborough Dr Is Ideally Set On A Tree-Lined Street, Steps From The Park. Its Handsome Facade And Charming Interior Await A Dream Renovation. This South-Facing Lot Is Full Of Potential & Offers The Opportunity To..."
1674,37 Millgate Cres,1999000,3+3,2,,Bayview Village,Millgate Cres,"Renovated & Upgraded Solid Brick Bungalow 3+3 Bedrm On A Pie-Shaped Lot (60'@Rear)) In A Quiet Crescent In Heart Of Bayview Village Area Steps Away From Mall,Park,Ravine,Subway&All Other Amenities! Newer Laminate Flr,Renovated 2Bathrm& Kitchen. Fully Finished Basement..."
1675,74 De Vere Gdns,6700000,4+1,7,,Bedford Park-Nortown,De Vere Gdns,"Practicality Meets Luxury. 2019 Custom Built Home In The Desired Cricket Club, Approx. 4200+2400Sf. Professionally Landscaped, Heated Driveway & Garage. Full Home On Generator. High Ceilings & Impressive Crown Moulding Leading To An Eye-Catching Solarium Designed Dome..."
1676,111 Estelle Ave,2788800,4,5,,Willowdale East,Estelle Ave,"Stunning 4 Bed 5 Bath Custom Built Home Located In The Prestigious Willowdale East Community. Quality Finishes Throughout This Home. Open Concept Chef-Inspired Kitchen Perfect For Entertaining Your Guests! Custom Vanities & Kitchen. Wainscotting, Crown Moulding..."
1677,1 Herradura St 1B,265000,2,1,Costa Rica,,,"Welcome To La Floresta! Located Within One Of The Most Exclusive Neighborhoods Of Costa Rica's Central Pacific Coast.  This Condo Community Is A Short Walk From The World-Renowned Los Sue?os Ocean Resort And Golf Course. Built 2021 With Contemporary, Modern Design With..."
1678,135 Baseline Rd 101,365000,2,1,London,,,"Better Than A Townhouse, Ground Floor,Two Generous Size Bedrooms,Renovated Unit, Laminate Flooring, New Paint, No Carpet, Very Clean Unit.Side Door Access, Which Is Very Convenient,Pet Friendly Building.Maintained Building.Low Maintenance Fee.Good For Large Family Or..."
1679,160 King St 1004,637000,3,2,Waterloo,,,"Welcome To 160 King St N Located In A Prime Location Of Downtown Waterloo! This Spacious Corner 3 Bdr Unit Offers Lrge Windows,Lots Of Natural Light,9 Ft Ceilings,Custom Ktchn Cabinetry,S/S Appl,Ensuite Laund,3 Great Size Bdrms & 2 Full Baths! Steps From Wilfred..."
1680,166 Southdale Rd 48,499000,3+1,2,,,,"Absolute Stunning For First Time Home Buyers And Investors 3+1 Bedroom Condo Townhouse, Fully Renovated , Orange Peel Ceiling, Maple Cupboards And All Updated Brand New Appliances. Big Family Room In The Basement, Fully Renovated Kitchen With Quartz Countertop..."
1681,330 Phillip St T2-1208,499900,2,1,,,,"Attention Students/Investors! High End 2 Bedroom And One Washroom Unit Within Tower 2 Opposite To The University Of Waterloo Is Sure To Impress From 12th Floor. The Close Proximity To U Of W And Wilfrid Laurier, Shopping, Dining, And Public Transportation Makes This..."
1682,652 Princess St 1023,459900,1,1,Kingston,,,"Amazing Investment Opportunity! Turn Key Spacious 1 Bedroom Layout At The New Sage Prestige Development In Kingston! Enjoy A Furnished Suite Luxury Finishes Throughout - Stainless Steel Appliances, Granite Countertops, Swiss Laminate Flooring, Ensuite Laundry. East..."
1683,5 San Romano Way 801,549000,3,2,Toronto,Black Creek,San Romano Way,"Incredible Value. This Sun-Filled 3 Bedrooms Plus 2 Full Bath Unit. Great View From The Large Balcony. Freshly Painted. Well Maintained Building. Close To All Amenities, Such As Shopping Malls, Hwy 400, York University, And The New Finch West Lrt Transit That Can Take..."
1684,180 Howden Blvd 67,789900,2,3,Brampton,Westgate,Howden Blvd,"Perfect Opportunity For First Time Home Buyers To Own This Beautiful Corner Unit Stacked Condo Townhouse. This 6 Year Old Unit Offers 2 Bedrooms, 3 Bath, Open Concept Kitchen, Breakfast Bar With Upgraded: Granite Counter Tops, Ceramic Floors And Ceramic Backsplash..."
1685,2737 Keele St 917,429000,2+1,2,,Downsview-Roding-CFB,Keele St,"Spacious 2+1 Bedrooms And A Big Den W/ Parking And Locker, Master Bedroom With 4Pc Ensuite And His/Hers Closet, Hardwood Floors Throughout, Custom Kitchen W/ Granite Countertops Overlooking Large Living And Dining Room. The Den May Be Used As A 3rd Bedroom. Across The..."
1686,1055 Southdown Rd 1501,649000,1,2,Mississauga,Clarkson,Southdown Rd,"This One Won't Last Long! Immediate Possession Located In South After Stonebrook Condominiums! This Beautiful 1+1 Bdrm, 2 Bath Suite Boasts Hrdw Floors, 4 Pce Ensuite & Guest Bath. Open Concept Liv, Kitch W/ Granite Counters, Breakfast Bar. Take Advantage Of A Long..."
1687,251 Manitoba St 2205,665000,1,1,,Mimico,Manitoba St,"Assignment Sale + 4% Credit On Closing. Empire Phoenix - Under Construction (No Showings). Spacious 1 Bed, W/I Closet + 105Sq.Ft. Balcony With 1 Locker & 1 Parking Spot. South Facing Lake Ontario. Estimated Maintenance Fees Of $0.54/Sqft. Estimated Occupancy Spring..."
1688,3 Hickory Tree Rd 710,459000,1+1,1,,Weston,Hickory Tree Rd,"Spacious, Bright, Freshly Painted, 746 Sq Ft, Move-In Ready, Custom Shades In Liv. Rm, Front Hall Walk-In Closet, Oversized Laundry Closet, Solarium Off Bedroom, Wall-To-Wall Windows.  Bldg Well-Maintained And Amenities Are Extensive And Impressive; Gym,Tennis, Pool..."
1689,3074 Sixth Line 232,1100000,3,3,Oakville,Rural Oakville,Sixth Line,"Spectacular End Unit Townhouse With 2 Parking. Private Roof Terrace, 2 Balconies, Ceiling To Floor Windows, Bi Kitchen Appliances, Pot Lights, B/Splash, Quarts Counter, Wood Flooring Through Out Main/3rd Bedroom. Rooftop Terrace, 2 Parking Spots, 1 Locker, S/S..."
1690,15 Zorra St 604,720000,2+1,2,,Islington-City Centre West,Zorra St,"This Stunning 2 Bdr + Den, 2 Bath, South East Corner, Suite Features A Bright Functional Layout W/ An Open Concept Design, ""9 Ft"" Ceiling, City + Water Views With Over $40,000 In Builders Upgrades. Building Includes Security, Lounge, Games Room, Pool, Hot Tub, Sauna..."
1691,390 Dixon Rd 1808,389900,2,1,,Kingsview Village-The Westway,Dixon Rd,"Beautiful 2 Bdrms Condo At Prime Location In Etobicoke!! Spacious Condo With Large Open Balcony,Large Eat-In Kitchen, Laminate Floor Thru-Out, Amazing Wide Open Unobstructed West View, Lots Of Sunlight, Open Concept Lay Out, Ensuite Laundry, One Bus To Kipling & Other..."
1692,3605 Kariya Dr #311,599000,2+1,2,,City Centre,Kariya Dr,"Prestigious 'The Towne' Tridel Built Luxury Condo In Square One, Mississauga Area, 1133 Sqft, 2 Lrg Bdrms + 2 Full Bthrms + Den/Sunroom (Lrg Enough-Can Be A 3rd Bdrm). Open Concept Living & Dining, Large Master Bdrm W/3 Pc Ens & His/Her Closets, Good Size Kitchen W..."
1693,17 St Vincent St 4,599900,3,2,Barrie,North Shore,St Vincent St,"Upgraded Townhouse Has Location, Location, Location. Natural Light Floods In On Both Sides Illuminating The Neutral Palette Of This Tasteful Home W/California Shutters, Hardwood Flooring, Upgraded Lighting, Kitchen, Baths & More. Just Under 1300 Sqft, The Spacious..."
1694,58 Lakeside Terr 609,619999,2,2,,Little Lake,Lakeside Terr,"Life Is Better At The Lake. Experience The Best Of City Life And Lake Living At Lakevu Condos. This Spacious 830 Sqft Suite W/ Has 2 Bdrms, 2 Bthrms, & A Stunning Large Balcony. Amenities Include Roof Top Terrace, Party Room With Pool Table, Pet's Spa & Guest Suite..."
1695,55 Oneida Cres Lph06,629888,1+1,1,Richmond Hill,Langstaff,Oneida Cres,"Luxury Condo Located In The Heart Of Richmond Hill. Rarely Available, Open Concept Penthouse, 1 Bedroom + Den (665 Sq Feet ) With Parking & Locker. Laminate Floors Thru-Out. Kitchen With Quartz Countertop, S/S App, Glass Backsplash, Walking Distance To Public Transit..."
1696,5 Buttermill Ave 5909,799000,2+1,2,Vaughan,Vaughan Corporate Centre,Buttermill Ave,"Welcome Tc-2, South Tower, Just A Few Steps To New Vaughan Subway And Bus Terminal. Unit Shows Very Well, Freshly Painted. Spectacular Views Of South And West. Large Balcony, 9-Foot Ceilings, Parking And Locker, Functional Den/Bedroom. Close To Hwy's, Hospital, And..."
1697,2920 Highway 7 Ave 2107,619000,1,1,,Concord,Highway 7 Ave,"Under Construction Ready In Summer 2023 In The Heart Of Downtown Vaughan. Easy Access To Hwy 400, 427 & Subway. Modern Kitchen W/Quartz Countertop, Undermount Sink, 9Ft Ceiling Laminate Flooring & Window Coverings. Fridge, Stove, Dryer, Dishwasher, Microwave, 1 Parking..."
1698,333 Clark Ave 519,854000,2+1,2,Vaughan,Crestwood-Springfarm-Yorkhill,Clark Ave,Welcome To The Conservatory! Thornhill's Most Desirable Building. Rarely Available Suite. Beautiful Hardwood Floors Throughout. Open Concept Layout With Natural Sunlight Throughout. Spacious Kitchen With New S/Appliances. Eat-In Kitchen With A Large Window. Large...
1699,11611 Yonge St 221,568000,1+1,1,Richmond Hill,Jefferson,Yonge St,"Modern Luxury 8-Storey Boutique Condo On Yonge St In Prime Richmond Hill. Sun-Fill Bright Large 1-Bdrm Plus Den Unit W/Large Balcony, Smooth Ceilings, Fresh Painting, Open Concept Kitchen W/Granite Countertop & Backsplash, S/S Appliances. A Large Outdoor Terrance Will..."
1700,2050 Bridletowne Circ 709,625000,3,2,Toronto,L'Amoreaux,Bridletowne Circ,"Location ,Location Fully Renovatived 3 Bedroom 2 Full Washroom With North-Facing View , Backsplash, Modern Cabinetry, High Grade Laminate Thru-Out Floor, ,Full-Size Laundry En Suite, Brand New Appliance Excellent Location Close To All Amenities, Steps To Bridlewood..."
1701,8 Lee Centre Dr 1115,399900,1,1,,Woburn,Lee Centre Dr,"Excellent View, Close To 401, Scarborough Town Centre, Ttc, And More. Luxurious Grand Entrance To Building. All Appliances Are Sold As Is Where Is, No Warranties Or Representations. "
1702,301 Prudential Dr 407,579000,3,1,,Dorset Park,Prudential Dr,"Bright And Sunny Unit With A Large Floor Plan And Ample Storage Is The Perfect Opportunity For A First Time Buyer, Young Family Or Investor. Central Scarborough Location Puts You In The Middle Of One Of The Fastest Growing Markets In The Gta. Close To Schools, Grocery..."
1703,2500 Hill Rise Crt 100,699000,3,3,Oshawa,Windfields,Hill Rise Crt,"Stunning Bright, Open Concept Main Floor. Walk Out To Balcony. Direct Garage Access To Home. Close To Highway, Restaurant, University Of Ontario Institute Of Technology, Durham College, Costco And New Shopping Plaza. Stainless Steel Appliances: Fridge, Stove..."
1704,280 Donlands Ave 502,599900,2,2,,Danforth Village-East York,Donlands Ave,"Welcome To The East Yorker!.  Bright And Spacious 2 Bedroom, 2 Bathroom And 2 Extremely Large Walk-In Closets! Large Windows With A Clear Unobstructed View.  This Condo Is Located Perfectly In The Heart Of East York Just Steps From Great Schools (William Burges..."
1705,200 Mclevin Ave 43,399900,2,1,,Malvern,Mclevin Ave,"Don't Miss This Opportunity To Own This Magnificent Home!!! Convenient Location, Condo Town House In A Quiet Child Safe Neighborhood. Ideal For First Time Home Buyers Or Investors. Main Floor Townhouse & No Stairs. Close To Schools, Recreation Centers, Library, Parks..."
1706,9 Shank St 902,799000,3,1,,Niagara,Shank St,"A Rare Offering. Newly Renovated 3 Bdrm Townhome In The Heart Of King West On A Tree-Lined Residential Street Just Steps Away From Parks, Shopping And Transit . This Spacious Open Concept Layout  Features A Brand New Kitchen With Shaker Style Cabinetry, Quartz Counters..."
1707,10 York St 6305,1998000,2+1,3,,Waterfront Communities C1,York St,"Try This Tongue Twister! Tridel's Iconic ""Ten York"" With Ten Foot Ceilings In Toronto! This 1,687 Sqft Behemoth With Never Ending Lake Views Could Be Yours! Part Of The Rare Signature Penthouse Collection. Irpinia Kitchen, Hardwood Flrs, Open Concept, 2 Parking, Master..."
1708,18 Rean Dr 322,599000,1,1,,Bayview Village,Rean Dr,"South View Luxurious & Modern 1 Bedroom Suite With Contemporary Design & Elegant Finishes! Fabulous Open Concept Kitchen With Stainless Steel Appliances & Granite Countertop, Gleaming Laminate Floors! Great Building Facilities Including: Gym, Party Room, Rooftop..."
1709,1 Belsize Dr 420,655000,1+1,1,,Mount Pleasant West,Belsize Dr,"Premium Location In Boutique Luxury Building At Yonge And Davisville. 1-Year New, Functional 540 Spft (Builder's Plan) 1+Den Easy-To-Furnish Floor Plan. Bright West Facing Suite With Clear City View. Modern Luxury Finishes, 9' Ceilings. Premium Building Amenities, 24..."
1710,25 Telegram Mews #2603,629900,1+1,1,Telegram Mews,,,"One Bedroom + Den On A Higher Floor Facing Cn Tower And View Of The Lake. Most Banks, Restaurants, Pub And Grocery Store On Ground Floor. On Main Spadina-Ttc Route. Walking Distance To Beach. Building Has Pool, Gym, Bbq And Free Wi-Fi In Public Areas. Price Includes..."
1711,500 Doris Ave 530,688000,1+1,2,,Willowdale East,Doris Ave,"Grand Triumph 2 By Tridel In The Heart Of North York, Steps To Subway, Go Transit, Civic Center, Empress Walk, Metro Supermarket, Sops, Restaurants, Parks And All Other Amenities. Bright And Spacious 1 Bedroom + Den! Luxury Condo With 2 Washrooms, Can Be Easily..."
1712,55 Regent Park Blvd 1607,649900,2,2,,Regent Park,Regent Park Blvd,"649,900 Or Trade! Stunning 2 Bed 2 Bath Condo With Magnificent City Views In The Heart Of A Bustling Family Neighbourhood!  This Special Pocket Within The Big City Is Characterized By The Sounds Of Children Playing, Families Walking Their Dogs And Beautiful Parks. This..."
1713,60 Tannery Rd 1117,939000,2,2,,Waterfront Communities C8,Tannery Rd,"A Beautiful Sun Filled Open Concept Condo With Laminate Floor Throughout. Located In The High Demand Area Of Downtown Toronto!! This Large Corner 2 Bdrm Condo Has A Modern Kitchen With Stone Counters, Integrated Appliances & Backsplash. Beanfield Unlimited Internet..."
1714,19 Western Battery Rd 1608,784999,2+1,2,Western Battery Rd,,,"Beautiful Two Bedroom + Den Condo In Liberty Village With Bright West Facing View, Two Full Washrooms, Floor To Ceiling Windows, Open Concept Kitchen W/Quartz Counter-Top And Stainless Steel Appliances, En-Suite Laundry, Laminate Flooring Thru-Out, Balcony, Den Can Be..."
