,Address,Price,Beds,Baths
1928,1914 Emerald Crt,"$1,099,000 CAD",4+1 beds,3 baths
1929,66 Beacham Cres,"$1,288,000 CAD",4 beds,2 baths
1930,26 Linville Rd,"$1,149,000 CAD",3+2 beds,2 baths
1931,7711 Green Vista Gate 505,"$519,000 CAD",2 beds,1 baths
1932,200 Veterans Dr 63,"$779,000 CAD",3 beds,3 baths
1933,3 Concorde Pl 2603,"$1,225,000 CAD",2+1 beds,3 baths
1934,21 Thelma Ave 307,"$638,900 CAD",2 beds,1 baths
1935,1 Bloor St 515,"$2,099,000 CAD",2+1 beds,3 baths
1936,982 King Rd,"$1,350,000 CAD",3+2 beds,2 baths
1937,27 Deneb St,"$588,000 CAD",2 beds,2 baths
1938,91 Annsleywood Crt,"$3,288,000 CAD",4 beds,5 baths
1939,9 Houdini Way,"$2,688,000 CAD",5+1 beds,6 baths
1940,20 Vanity Cres,"$998,000 CAD",3 beds,3 baths
1941,59 Holford Cres,"$999,800 CAD",3+4 beds,2 baths
1942,260 Concord Ave,"$2,395,000 CAD",5+1 beds,4 baths
1943,24 Gaukel St P201,"$729,000 CAD",2+1 beds,2 baths
1944,3880 Duke Of York Blvd 2207,"$799,900 CAD",2+1 beds,2 baths
1945,50 George Butchard Dr 614,"$699,000 CAD",2 beds,2 baths
1946,1720 Eglinton Ave 116,"$625,000 CAD",2 beds,3 baths
1947,122 Anderson Ave,"$999,900 CAD",4 beds,2 baths
1948,1744 Drummond Concession,"$895,000 CAD",5+1 beds,2 baths
1949,238 Grey Rd 21,"$2,999,000 CAD",5+2 beds,3 baths
1950,1690 Marentette Ave,"$349,900 CAD",3+1 beds,1 baths
1951,13432 Airport Rd,"$2,900,000 CAD",2+3 beds,2 baths
1952,187 Humbervale Blvd,"$2,488,000 CAD",5 beds,3 baths
1953,7566 Black Walnut Tr,"$999,999 CAD",3+1 beds,3 baths
1954,21 Eastview Gate 17,"$999,000 CAD",3+1 beds,4 baths
1955,71 Callandar Rd,"$1,199,900 CAD",4+1 beds,4 baths
1956,1 Elsie Lane 59,"$1,099,000 CAD",3 beds,3 baths
1957,6104 Bloomington Rd,"$1,699,900 CAD",3+3 beds,3 baths
1958,7 Elmway Crt,"$3,077,000 CAD",4+1 beds,7 baths
1959,41 Cedar Ridge Rd,"$2,990,000 CAD",4 beds,5 baths
1960,48 Carpendale Cres,"$1,100,000 CAD",3+1 beds,4 baths
1961,29 Hobart Dr,"$1,690,000 CAD",4+2 beds,4 baths
1962,55 Yarmouth St 205,"$449,000 CAD",1 beds,1 baths
1963,20 Shore Breeze Dr 608,"$1,099,000 CAD",2 beds,2 baths
1964,40 Panorama Crt 101,"$599,797 CAD",3 beds,2 baths
1965,3888 Duke Of York Blvd 1026,"$729,900 CAD",2 beds,2 baths
1966,3160 Boxford Cres 3,"$847,000 CAD",2 beds,3 baths
1967,1333 Bloor St 1812,"$598,000 CAD",2 beds,2 baths
1968,340 Dixon Rd 716,"$435,000 CAD",2 beds,1 baths
1969,10 Mendelssohn St 409,"$849,900 CAD",3 beds,2 baths
1970,1900 Simcoe St 436,"$290,000 CAD",0 beds,1 baths
1971,38 Monte Kwinter Crt 1401,"$499,800 CAD",1 beds,1 baths
1972,135 East Liberty St,"$1,088,888 CAD",3 beds,2 baths
1973,500 Doris Ave 429,"$868,000 CAD",2+1 beds,2 baths
1974,47 Padua Cres,"$950,000 CAD",3 beds,3 baths
1975,62 East St,"$799,000 CAD",3 beds,3 baths
1976,228 East 22nd St,"$599,900 CAD",3+2 beds,1 baths
1977,12864 Innis Lake Dr,"$10,000,000 CAD",2 beds,1 baths
1978,62 Toba Cres,"$1,161,000 CAD",3+1 beds,3 baths
1979,76 Greendale Ave,"$799,900 CAD",2 beds,2 baths
1980,2 Fairbank Crt,"$1,299,999 CAD",4+2 beds,4 baths
1981,135 10 Line,"$5,500,000 CAD",0 beds,0 baths
1982,242 Taylor Mills Dr,"$999,900 CAD",3+1 beds,2 baths
1983,25 Steelhead Lane,"$749,900 CAD",2 beds,2 baths
1984,331 Douglas Ave,"$2,988,000 CAD",4+1 beds,5 baths
1985,515 Winston Rd #71,"$849,900 CAD",3 beds,3 baths
1986,760 Lakeshore Rd 209,"$799,000 CAD",2 beds,2 baths
1987,435 Hensall Circ 9,"$799,800 CAD",2 beds,3 baths
1988,380 Macpherson Ave 102,"$1,349,000 CAD",2+1 beds,2 baths
1989,49 Kiwi Cres,"$1,990,000 CAD",4+2 beds,4 baths
1990,7 Marchwood Cres,"$1,399,800 CAD",4 beds,4 baths
1991,1930 County Road 121 Rd,"$2,700,000 CAD",4 beds,2 baths
1992,24 Legacy Lane,"$1,379,000 CAD",4 beds,4 baths
1993,151149 12th Line,"$2,999,000 CAD",4 beds,2 baths
1994,4659 Lobsinger Line,"$1,600,000 CAD",5 beds,3 baths
1995,1598 Hartley Rd,"$2,100,000 CAD",3 beds,2 baths
1996,326 Chandler Cres,"$800,000 CAD",3+1 beds,4 baths
1997,23 Mccormack St,"$899,000 CAD",3+2 beds,4 baths
1998,2234 Falling Green Dr,"$1,699,900 CAD",4 beds,4 baths
1999,2 Bevington Rd,"$1,399,000 CAD",4 beds,3 baths
2000,1420 Sycamore Gdns,"$1,599,000 CAD",4 beds,3 baths
2001,175 Simcoe Ave,"$10,000 CAD",0 beds,0 baths
2002,37 Alvin Ave,"$3,995,000 CAD",2 beds,4 baths
2003,72 Main St 217,"$450,000 CAD",2 beds,1 baths
2004,345 Driftwood Ave 512,"$439,000 CAD",3 beds,2 baths
2005,4135 Shipp Dr 41,"$1,798,000 CAD",4 beds,4 baths
2006,144 Kingston Rd,"$599,999 CAD",2 beds,2 baths
2007,654 Elm St,"$449,900 CAD",5 beds,2 baths
2008,98 Queenston St,"$599,000 CAD",4 beds,3 baths
2009,484 Westmount Dr,"$2,499,999 CAD",4 beds,3 baths
2010,359784 Bayshore Rd,"$4,260,500 CAD",0 beds,0 baths
2011,859 Fallis Line,"$1,188,900 CAD",4 beds,4 baths
2012,475 Lyndhurst Rd,"$399,999 CAD",3 beds,2 baths
2013,87 Edenrock Dr,"$659,888 CAD",2+1 beds,2 baths
2014,2201 Silverbirch Crt,"$999,000 CAD",3 beds,2 baths
2015,406 Christina Dr,"$2,288,000 CAD",3 beds,2 baths
2016,34 Hollingsworth Circ,"$1,099,000 CAD",3+1 beds,4 baths
2017,79 Latania Blvd,"$2,900,000 CAD",5+2 beds,6 baths
2018,320 Ashbury Rd,"$1,490,000 CAD",3+1 beds,2 baths
2019,6196 County 9 Rd,"$1,075,000 CAD",3 beds,1 baths
2020,12890 Simcoe County Rd 27 Rd,"$1,899,999 CAD",3 beds,2 baths
2021,9 Goldeneye Dr,"$1,589,000 CAD",5+1 beds,5 baths
2022,60 Pridham Pl,"$1,288,000 CAD",4 beds,4 baths
2023,37 Davidson St,"$889,999 CAD",3+1 beds,3 baths
2024,375 Jones Ave,"$1,399,000 CAD",3 beds,4 baths
2025,11 Lysander Crt,"$1,399,000 CAD",4+1 beds,4 baths
2026,5400 Sideline 32 Line,"$2,399,000 CAD",3 beds,2 baths
2027,6 Crestlea Cres 6A,"$499,900 CAD",3+1 beds,3 baths
2028,85 Morrell St 127A,"$489,900 CAD",1 beds,1 baths
2029,7 Michael Power Pl 704,"$549,000 CAD",1+1 beds,1 baths
2030,70 Annie Craig Dr 5206,"$999,800 CAD",2 beds,2 baths
2031,800 Lawrence Ave 2121,"$648,000 CAD",1+1 beds,1 baths
2032,15 Legion Rd 1205,"$652,000 CAD",1+1 beds,1 baths
2033,2908 Highway 7 Rd 3103,"$838,888 CAD",2 beds,2 baths
2034,7825 Bayview Ave 802,"$699,800 CAD",2+1 beds,2 baths
2035,180 John West Way 217,"$659,900 CAD",1+1 beds,1 baths
2036,2152 Lawrence Ave 710,"$634,999 CAD",2 beds,2 baths
2037,11 Falaise Rd A,"$750,000 CAD",3 beds,3 baths
2038,1055 Bay St 1002,"$799,900 CAD",2 beds,2 baths
2039,50 Charles St 3607,"$1,269,000 CAD",2+1 beds,2 baths
2040,16 Dallimore Circ 415,"$849,999 CAD",2 beds,2 baths
2041,318 Richmond St 3102,"$539,000 CAD",0 beds,1 baths
2042,144 Talisman Blvd,"$1,199,000 CAD",4+1 beds,3 baths
2043,514 Claude St,"$599,000 CAD",5 beds,3 baths
2044,1047 Bonnie Lake Camp Rd,"$115,000 CAD",2 beds,1 baths
2045,1047 Bonnie Lake Camp Rd,"$109,900 CAD",3 beds,1 baths
2046,675528 Hurontario St,"$1,200,000 CAD",0 beds,0 baths
2047,29 Patricia Dr,"$699,900 CAD",3 beds,2 baths
2048,6746 Wellington 34 Rd,"$6,977,700 CAD",5 beds,6 baths
2049,25 Openbay Gdns,"$1,699,900 CAD",4 beds,4 baths
2050,50 Leagate St,"$1,299,999 CAD",4+1 beds,4 baths
2051,26 Goulston St,"$1,179,900 CAD",4 beds,3 baths
2052,29 Bellefond St,"$1,449,000 CAD",4 beds,4 baths
2053,42 Tyler St,"$898,000 CAD",3+1 beds,2 baths
2054,131 Grey Alder Ave,"$2,980,000 CAD",5+2 beds,6 baths
2055,92 Callander Cres,"$999,900 CAD",4+2 beds,4 baths
2056,439 Maine St,"$999,000 CAD",2+2 beds,2 baths
2057,788 Balaton Ave,"$899,000 CAD",3+1 beds,2 baths
2058,25 Beaverdams Dr,"$1,699,000 CAD",4 beds,4 baths
2059,4284 Lawrence Ave,"$2,100,000 CAD",3+2 beds,2 baths
2060,82 James St,"$799,800 CAD",3+1 beds,2 baths
2061,162 Cedric Ave,"$1,949,000 CAD",4+1 beds,5 baths
2062,399 Connaught Ave,"$2,835,000 CAD",4+3 beds,5 baths
2063,16 Concord Pl 550,"$679,900 CAD",2 beds,2 baths
2064,1250 Mississauga Valley Blvd 48,"$777,000 CAD",3+1 beds,3 baths
2065,200 Veterans Dr 189,"$899,900 CAD",3 beds,2 baths
2066,3121 Sheppard Ave 330,"$599,000 CAD",1+1 beds,1 baths
2067,1900 Simcoe St 632,"$269,000 CAD",0 beds,1 baths
2068,55 Skymark Dr #701,"$1,049,000 CAD",2+1 beds,2 baths
2069,21 Scollard St #212,"$725,000 CAD",1 beds,1 baths
2070,11 Wellesley St 3705,"$1,288,000 CAD",3 beds,2 baths
2071,27 Rean Dr 516,"$599,000 CAD",1+1 beds,2 baths
2072,260 Finch Ave 18,"$899,000 CAD",2 beds,2 baths
2073,77 Maitland Pl 1924,"$750,000 CAD",2 beds,2 baths
2074,1 King St 4608,"$569,000 CAD",1 beds,1 baths
2075,4 Spadina Rd 725,"$775,000 CAD",2 beds,2 baths
2076,31099 Highway 7,"$138,900 CAD",0 beds,0 baths
2077,5299 Chippewa Rd,"$3,680,000 CAD",4 beds,2 baths
2078,5583 Haddon Hall Rd,"$1,499,000 CAD",4+1 beds,4 baths
2079,32 Pillar Rock Cres,"$1,298,000 CAD",3 beds,3 baths
2080,46 Strathmore Dr,"$1,488,000 CAD",4+1 beds,4 baths
2081,35 Golden Meadow Dr,"$1,699,999 CAD",4+2 beds,4 baths
2082,40 Sylvan Cres,"$1,280,000 CAD",3 beds,1 baths
2083,54 Gloxinia Cres,"$1,268,000 CAD",3 beds,3 baths
2084,457 Cromwell Ave,"$599,900 CAD",1 beds,1 baths
2085,23 Shouldice Crt,"$2,720,000 CAD",4+1 beds,3 baths
2086,1 Neighbourhood Lane 509,"$849,900 CAD",2+1 beds,2 baths
2087,2590 Carberry Way 19,"$1,199,900 CAD",2+1 beds,3 baths
2088,239 The Lions Gate,"$1,688,000 CAD",4+4 beds,5 baths
2089,122 Nordic Rd,"$1,399,900 CAD",5 beds,3 baths
2090,720 York Rd,"$1,999,999 CAD",2 beds,2 baths
2091,218 Part 1 Greenwood St,"$386,000 CAD",0 beds,0 baths
2092,78 Livingston Dr,"$799,000 CAD",3 beds,3 baths
2093,180 Thornbush Blvd Lot 23,"$950,000 CAD",0 beds,0 baths
2094,3726 Escarpment Sdrd,"$2,999,900 CAD",3 beds,4 baths
2095,2196 Bridge Rd,"$2,999,900 CAD",4 beds,4 baths
2096,938 Whittier Cres,"$3,988,000 CAD",4 beds,6 baths
2097,923 Kennedy Circ,"$1,299,000 CAD",3+1 beds,4 baths
2098,179 Sassafras Circ,"$1,099,000 CAD",3 beds,3 baths
2099,59 Beck Dr,"$1,499,900 CAD",3+1 beds,4 baths
2100,95 Scarlet Way,"$1,498,888 CAD",4 beds,4 baths
2101,537 Grierson St,"$649,900 CAD",2 beds,2 baths
2102,467 Charlton Ave 309,"$439,900 CAD",1 beds,1 baths
2103,60 Absolute Ave 3304,"$574,900 CAD",1+1 beds,1 baths
2104,385 Prince Of Wales Dr Ph3607,"$609,999 CAD",1 beds,1 baths
2105,30 Shore Breeze Dr Ph03,"$699,000 CAD",1 beds,1 baths
2106,20 Shore Breeze Dr 1810,"$1,388,000 CAD",2 beds,2 baths
2107,247 Broward Way 25,"$925,000 CAD",2 beds,3 baths
2108,133 Wynford Drive Dr 402,"$749,900 CAD",2 beds,2 baths
2109,8 Eglinton Ave 5111,"$1,190,000 CAD",2+1 beds,2 baths
2110,38 Grenville St 2609,"$890,000 CAD",2 beds,2 baths
2111,78 Hillview Dr,"$975,000 CAD",2+1 beds,3 baths
2112,82 Booth St,"$649,900 CAD",3 beds,2 baths
2113,7977 Cathedral Dr,"$1,590,000 CAD",3+1 beds,3 baths
2114,629 Canal Rd,"$4,499,999 CAD",4+1 beds,4 baths
2115,573 7th Ave,"$499,000 CAD",4 beds,2 baths
2116,116 Dolomiti Crt,"$1,499,900 CAD",4 beds,3 baths
2117,2975 Curry Ave,"$790,000 CAD",5 beds,4 baths
2118,1718 Highway 6,"$2,199,990 CAD",4+2 beds,2 baths
2119,1577 Stevensville Rd,"$599,000 CAD",0 beds,0 baths
2120,163 James St,"$499,000 CAD",2 beds,1 baths
2121,10 Elm St,"$774,999 CAD",3 beds,2 baths
2122,342 Ketchesons Rd,"$449,000 CAD",3 beds,2 baths
2123,519 Linden Valley Rd,"$2,199,900 CAD",4 beds,1 baths
2124,1893 County Road 13,"$1,800,000 CAD",2+1 beds,3 baths
2125,331 Bland 14th Line,"$1,350,000 CAD",3+1 beds,1 baths
2126,1067 Marina Rd,"$4,295,000 CAD",3+1 beds,3 baths
2127,959 South Coast Dr,"$499,900 CAD",3 beds,1 baths
2128,3258 Saint Patrick Ave,"$789,900 CAD",2 beds,2 baths
2129,93 Collier Rd,"$1,249,000 CAD",2+3 beds,3 baths
2130,11142 Churchill Ave,"$469,900 CAD",2 beds,1 baths
2131,33 Pergola Way,"$1,100,000 CAD",4 beds,3 baths
2132,5 Chaplin Crt,"$1,300,000 CAD",3+1 beds,4 baths
2133,10 Collingwood Ave,"$1,199,900 CAD",3 beds,3 baths
2134,350 Lake Promenade,"$2,899,899 CAD",3+2 beds,2 baths
2135,964 Parkland Ave,"$2,950,000 CAD",3+1 beds,3 baths
2136,393 Maple Leaf Dr,"$2,999,000 CAD",4 beds,3 baths
2137,631 Sellers Path,"$999,900 CAD",3 beds,4 baths
2138,2 Agosto St,"$1,999,999 CAD",4+1 beds,4 baths
2139,144 Bloomsbury Ave,"$1,999,000 CAD",4+2 beds,5 baths
2140,20 Edelwild Dr,"$899,000 CAD",3+1 beds,2 baths
2141,2374 Mountainside Dr,"$1,099,000 CAD",3+1 beds,2 baths
2142,59 Maniza Rd,"$2,488,000 CAD",5+2 beds,5 baths
2143,8 Paramount Pl,"$1,399,000 CAD",4 beds,4 baths
2144,1834 Grosvenor Pl,"$2,499,888 CAD",4 beds,5 baths
2145,3656 Banff Crt,"$2,699,000 CAD",4+4 beds,6 baths
2146,179 Kennedy Ave,"$1,149,000 CAD",5 beds,2 baths
2147,18 Byers St,"$2,499,999 CAD",3+2 beds,5 baths
2148,8936 Highway 12,"$1,785,000 CAD",4 beds,3 baths
2149,33 Henry St,"$740,000 CAD",2+2 beds,2 baths
2150,18 Chambersburg Way,"$1,488,000 CAD",4 beds,4 baths
2151,171 Carisbrooke Circ,"$3,980,000 CAD",5 beds,6 baths
2152,298 Seaview Hts,"$1,699,000 CAD",5 beds,4 baths
2153,8 Christidis Dr,"$499,000 CAD",2 beds,1 baths
2154,8566 Old Shiloh Rd,"$1,199,900 CAD",0 beds,0 baths
2155,1255 Huron Crt,"$599,999 CAD",3 beds,2 baths
2156,5232 Bethesda Rd,"$650,000 CAD",0 beds,0 baths
2157,5246 Bethesda Rd,"$350,000 CAD",0 beds,0 baths
2158,197 Cooks Mill Cres,"$2,888,000 CAD",4+1 beds,5 baths
2159,946 Lake Dr,"$969,900 CAD",3 beds,2 baths
2160,213 Richardson Cres,"$1,299,900 CAD",4 beds,4 baths
2161,7295 County Rd 10,"$899,000 CAD",4 beds,2 baths
2162,6 Belford Cres,"$1,198,000 CAD",3+1 beds,4 baths
2163,42 Oldham St,"$2,188,000 CAD",4+1 beds,5 baths
2164,16 Calora Crt,"$999,000 CAD",4 beds,3 baths
2165,1030 Thimbleberry Circ,"$1,049,000 CAD",4+2 beds,4 baths
2166,3286 Lawrence Ave,"$1,299,000 CAD",3+3 beds,2 baths
2167,146 Placentia Blvd,"$1,188,000 CAD",4+3 beds,4 baths
2168,5 Wheelhouse Dr,"$569,000 CAD",2 beds,2 baths
2169,42 Kessack Crt,"$999,000 CAD",3+1 beds,2 baths
2170,1009 Regent Dr,"$659,000 CAD",3+1 beds,2 baths
2171,82 Botany Hill Rd,"$1,199,999 CAD",3 beds,2 baths
2172,57 Anndale Dr,"$1,688,000 CAD",3+1 beds,3 baths
2173,1086 Queen St,"$2,495,999 CAD",6 beds,4 baths
2174,67 Goulding Ave,"$1,588,000 CAD",3+2 beds,3 baths
2175,300 Croft St 3503,"$499,000 CAD",2 beds,2 baths
2176,152 Elmwood Ave 101&102,"$999,999 CAD",6 beds,4 baths
2177,427 Aberdeen Ave 504,"$699,000 CAD",3 beds,2 baths
2178,509 Weber St 7,"$620,000 CAD",5 beds,3 baths
2179,1235 Richmond St 917,"$629,900 CAD",2+1 beds,2 baths
2180,920 Ford St 103,"$299,999 CAD",1 beds,1 baths
2181,3100 Kirwin Ave 2308,"$519,900 CAD",2 beds,2 baths
2182,60 George Butchart Dr 718,"$610,000 CAD",1+1 beds,2 baths
2183,2267 Lake Shore Blvd 417,"$999,900 CAD",3 beds,2 baths
2184,1237 North Shore Blvd 301,"$979,000 CAD",2 beds,2 baths
2185,5630 Winston Churchill Blvd 3,"$849,900 CAD",2 beds,3 baths
2186,1530 Weston Rd 101,"$489,000 CAD",2 beds,2 baths
2187,55 Yorkland Blvd 601,"$625,000 CAD",2 beds,2 baths
2188,250 Sunny Meadow Blvd 147,"$649,000 CAD",2 beds,1 baths
2189,4065 Brickstone Mews 1906,"$675,000 CAD",2+1 beds,2 baths
2190,205 Lakeshore Rd 406,"$899,900 CAD",2 beds,2 baths
2191,400 East Mall 321,"$965,000 CAD",2 beds,3 baths
2192,5240 Dundas St B415,"$499,000 CAD",1+1 beds,1 baths
2193,24 Providence Way,"$674,900 CAD",3+1 beds,4 baths
2194,10 Coulter St 231,"$399,999 CAD",2 beds,1 baths
2195,100 Portage Pkwy 3506,"$629,000 CAD",1+1 beds,2 baths
2196,3220 Sheppard Ave 421,"$807,880 CAD",2+1 beds,2 baths
2197,340 Watson St Ph10,"$799,900 CAD",2 beds,2 baths
2198,20 Brimwood Blvd #74,"$699,000 CAD",3+1 beds,3 baths
2199,1401 Oconnor Dr 220,"$849,000 CAD",2+1 beds,2 baths
2200,311 Bay St 3703,"$1,750,000 CAD",1+1 beds,2 baths
2201,32 Trolley Cres 1008,"$515,000 CAD",1 beds,1 baths
2202,412 Jarvis St 205,"$574,900 CAD",1 beds,1 baths
2203,78 Warren Rd 705,"$530,000 CAD",1 beds,1 baths
2204,210 Simcoe St 2104,"$680,000 CAD",1+1 beds,1 baths
2205,55 Ontario St 709,"$1,099,900 CAD",2 beds,2 baths
2206,35 Empress Ave 910,"$809,000 CAD",2 beds,2 baths
2207,88 Davenport Rd 1801,"$3,339,000 CAD",2+1 beds,2 baths
2208,2885 Bayview Ave 608,"$480,000 CAD",0 beds,1 baths
2209,85 Queens Wharf Rd Th07,"$1,299,000 CAD",2+1 beds,3 baths
2210,18 Wanless Ave 606,"$699,900 CAD",1+1 beds,2 baths
2211,57 Finch Ave 3,"$1,000,000 CAD",3 beds,3 baths
2212,48 Cedar Shores Dr,"$899,000 CAD",4 beds,2 baths
2213,22 Todd Cres,"$968,000 CAD",4 beds,3 baths
2214,4069 Maitland St,"$899,990 CAD",3 beds,3 baths
2215,73 Biehn Dr,"$799,000 CAD",3 beds,2 baths
2216,45 Bousfield Crt,"$999,000 CAD",3+1 beds,4 baths
2217,430 Parkview Crescent Cres On,"$659,900 CAD",3 beds,1 baths
2218,1594 Mineral Springs Rd,"$1,890,000 CAD",3 beds,3 baths
2219,412 Olde Village Lane,"$1,099,000 CAD",4+1 beds,4 baths
2220,401 Grassy Rd,"$1,900,000 CAD",0 beds,0 baths
2221,4102 Portage Rd,"$725,000 CAD",3 beds,2 baths
2222,521 Thorold Rd,"$849,000 CAD",4+2 beds,2 baths
2223,33 Shelley Dr,"$824,900 CAD",3 beds,1 baths
2224,5 Cedar Lane,"$310,000 CAD",3 beds,1 baths
2225,102301 Highway 7,"$479,900 CAD",2 beds,1 baths
2226,3 Mayfair Crt,"$1,299,999 CAD",2+2 beds,2 baths
2227,5 Scott Cres,"$950,000 CAD",3 beds,2 baths
2228,18 Blueheron Lane,"$2,399,000 CAD",3 beds,3 baths
2229,50 King St,"$1,250,000 CAD",3+2 beds,3 baths
2230,3291 Nobleton Dr,"$1,499,000 CAD",4+2 beds,4 baths
2231,11 Pennywood Rd,"$979,900 CAD",3+3 beds,3 baths
2232,9 Heatherside Crt,"$799,900 CAD",3+2 beds,2 baths
2233,1547 Sandpiper Rd,"$1,579,000 CAD",2+1 beds,3 baths
2234,5105 Heritage Hills Blvd,"$1,499,888 CAD",4+3 beds,5 baths
2235,165 Sherwood Rd,"$999,000 CAD",3 beds,3 baths
2236,1816 Mississauga Rd,"$6,299,999 CAD",6+2 beds,11 baths
2237,1808 Mississauga Rd,"$5,899,999 CAD",6+2 beds,11 baths
2238,1064 Dufferin St,"$1,768,000 CAD",4 beds,3 baths
2239,18 Keats Terr,"$1,098,000 CAD",4+2 beds,4 baths
2240,1800 Mississauga Rd,"$5,999,999 CAD",6+2 beds,10 baths
2241,38 Sierra Peak Crt,"$1,779,000 CAD",5 beds,5 baths
2242,18489 The Gore Rd,"$2,799,000 CAD",3 beds,2 baths
2243,178 Rosethorn Ave,"$799,000 CAD",2 beds,2 baths
2244,26 Hinchley Wood Grve,"$949,900 CAD",3+1 beds,3 baths
2245,107 William Duncan Rd,"$1,299,000 CAD",3 beds,3 baths
2246,25 Autumn Way,"$1,988,000 CAD",4+1 beds,5 baths
2247,45 Birch Ave,"$5,388,000 CAD",4+1 beds,7 baths
2248,9928 Mccowan Rd,"$998,888 CAD",3 beds,3 baths
2249,5183 9th Line,"$2,888,888 CAD",0 beds,0 baths
2250,33 Greenan Rd,"$948,000 CAD",0 beds,0 baths
2251,100 Walker Blvd,"$1,199,000 CAD",3 beds,4 baths
2252,94 Waite Cres,"$1,388,999 CAD",4 beds,3 baths
2253,118 Dexter Rd,"$4,588,000 CAD",5+1 beds,7 baths
2254,186 Sunway Sq,"$999,000 CAD",3 beds,3 baths
2255,108 Frank Kelly Dr,"$1,290,000 CAD",4 beds,4 baths
2256,16 Bellamy Rd,"$1,099,800 CAD",5+1 beds,3 baths
2257,2226 Brimley Rd,"$1,158,000 CAD",3+3 beds,5 baths
2258,53 Glenwood Cres,"$1,399,000 CAD",3 beds,2 baths
2259,67 Hobbs Dr,"$820,000 CAD",3 beds,2 baths
2260,54 Waverly St,"$599,900 CAD",2+2 beds,2 baths
2261,2100 Taunton Rd,"$6,900,000 CAD",3+3 beds,6 baths
2262,7 Millville Ave,"$1,299,900 CAD",3+2 beds,3 baths
2263,1840 Dalhousie Cres,"$899,000 CAD",3+3 beds,4 baths
2264,317 Holmes Ave,"$2,699,000 CAD",4 beds,5 baths
2265,484 Hounslow Ave,"$1,690,000 CAD",3 beds,3 baths
2266,261 Finch Ave,"$1,499,000 CAD",3+2 beds,3 baths
2267,380 Springbank Ave 3,"$397,000 CAD",3 beds,2 baths
2268,38 Howard Park Ave 37,"$15,000 CAD",0 beds,0 baths
2269,390 Dixon Rd 2014,"$479,900 CAD",3 beds,2 baths
2270,2 Eva Rd 1222,"$624,000 CAD",2 beds,2 baths
2271,1461 Lawrence Ave 1405,"$664,900 CAD",2 beds,2 baths
2272,1183 Dufferin St 111,"$1,050,000 CAD",2+1 beds,3 baths
2273,1183 Dufferin St 110,"$849,990 CAD",1 beds,1 baths
2274,1940 Ironstone Dr 1608,"$699,000 CAD",2 beds,2 baths
2275,271 Sea Ray Ave B101,"$769,000 CAD",2 beds,2 baths
2276,175 Millway Ave 4303,"$749,000 CAD",2 beds,2 baths
2277,2350 Bridletowne Circ 2111,"$649,888 CAD",1+1 beds,2 baths
2278,106 Aspen Springs Dr 305,"$489,900 CAD",1+1 beds,1 baths
2279,15 Merchants Wharf St 606,"$769,999 CAD",1+1 beds,1 baths
2280,80 Vanauley St 108,"$1,189,000 CAD",2+1 beds,3 baths
2281,77 Harbour Sq 1312,"$1,119,000 CAD",2 beds,2 baths
2282,117 Gerrard St 209,"$649,900 CAD",2+1 beds,2 baths
2283,5 Soudan Ave #710,"$699,900 CAD",2 beds,2 baths
2284,10 York St 2204,"$829,900 CAD",1+1 beds,1 baths
2285,60 Tannery Rd 918,"$783,000 CAD",2 beds,2 baths
2286,980 Yonge St 703,"$599,900 CAD",1 beds,1 baths
2287,6 Jackes Ave 306,"$2,047,990 CAD",2+1 beds,2 baths
2288,363 Sentinel Rd,"$1,199,000 CAD",3+4 beds,3 baths
2289,1078 Lansdowne Ave,"$1,199,000 CAD",3+1 beds,3 baths
2290,320 Dalewood Dr,"$5,350,000 CAD",4+2 beds,8 baths
2291,35 Yarmouth St,"$1,999,990 CAD",4 beds,4 baths
2292,286 Fern Ave,"$3,980,000 CAD",5+3 beds,6 baths
2293,856 Elvidge Tr,"$1,588,000 CAD",4 beds,4 baths
2294,5 Chieftain St,"$1,528,000 CAD",4 beds,4 baths
2295,50 Kingsbridge Garden Circ #1814,"$599,000 CAD",1 beds,1 baths
2296,761 Bay St 4001,"$4,280,000 CAD",3+1 beds,4 baths
2297,30 Ordnance St 1612,"$750,000 CAD",1 beds,1 baths
2298,24 Wellesley St 402,"$679,000 CAD",1+1 beds,2 baths
2299,19 Clearview Dr,"$399,900 CAD",3 beds,1 baths
2300,47 Sixth Ave,"$349,900 CAD",2 beds,1 baths
2301,5001 Huron St,"$599,000 CAD",3+2 beds,3 baths
2302,5110 Fairview St 34,"$799,000 CAD",3 beds,4 baths
2303,133 Branigan Cres,"$1,590,000 CAD",4 beds,3 baths
2304,98 Tiller Tr,"$999,888 CAD",3 beds,3 baths
2305,7169 Upton Cres,"$2,599,900 CAD",4+1 beds,5 baths
2306,244 Poplar Ave,"$629,900 CAD",2+2 beds,2 baths
2307,12399 Mccowan Rd,"$4,750,000 CAD",5 beds,6 baths
2308,133 Queen St,"$650,000 CAD",3 beds,2 baths
2309,230 Lawrence Ave,"$1,498,000 CAD",3 beds,1 baths
2310,55 Duke St 2502,"$729,000 CAD",2 beds,2 baths
2311,5 Mariner Tr 1003,"$1,199,000 CAD",2+1 beds,2 baths
2312,5879 Bathurst St 207,"$539,900 CAD",2 beds,1 baths
2313,38 Forest Manor Rd 910,"$836,900 CAD",2 beds,2 baths
2314,5444 Yonge St 1003,"$899,000 CAD",2+1 beds,2 baths
2315,55 Granite Dr,"$249,900 CAD",0 beds,0 baths
